work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q42306683,Hamlet,based_on,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q19101569,Romeo and Juliet,edition_or_translation_of,1847-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q47431808,Macbeth,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q130283,Macbeth
http://www.wikidata.org/entity/Q55631942,Romeo und Julia,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q47509134,Julia,based_on,2000-01-01T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q54510755,King Lear,based_on,2018-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q181598,King Lear
http://www.wikidata.org/entity/Q55840065,Othello,based_on,1807-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q26833,Othello
http://www.wikidata.org/entity/Q47439247,Q47439247,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q221211,Twelfth Night
http://www.wikidata.org/entity/Q47424487,Q47424487,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-11-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2"
http://www.wikidata.org/entity/Q48699854,Richard III,based_on,2016-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q652011,Richard III
http://www.wikidata.org/entity/Q47435665,Romeo und Julia,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-11T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1"
http://www.wikidata.org/entity/Q47431895,Macbeth,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q130283,Macbeth
http://www.wikidata.org/entity/Q47424677,Q47424677,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-11T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q495954,Henry V
http://www.wikidata.org/entity/Q55858204,The Tempest,based_on,1807-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q86440,The Tempest
http://www.wikidata.org/entity/Q47435034,Perikles von Tyrus,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q584729,"Pericles, Prince of Tyre"
http://www.wikidata.org/entity/Q47434551,Q47434551,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q26833,Othello
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-11T00:00:00Z,,,http://www.wikidata.org/entity/Q28,Hungary,,,,,http://www.wikidata.org/entity/Q495954,Henry V
http://www.wikidata.org/entity/Q47430644,Q47430644,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q661222,King John
http://www.wikidata.org/entity/Q47430252,Q47430252,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q506505,The Comedy of Errors
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-03T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q495954,Henry V
http://www.wikidata.org/entity/Q47424599,Q47424599,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q51546903,Cleopatra,based_on,1850-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,,,,,,,http://www.wikidata.org/entity/Q606830,Antony and Cleopatra
http://www.wikidata.org/entity/Q47438551,Q47438551,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet,based_on,2000-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q47438619,Q47438619,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q48699848,"Henry VI, Part 1",based_on,2016-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q1236216,"Henry VI, Part 2"
http://www.wikidata.org/entity/Q47424730,Q47424730,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-11T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2"
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-11-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1"
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-11T00:00:00Z,,,http://www.wikidata.org/entity/Q28,Hungary,,,,,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2"
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-17T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q495954,Henry V
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-11-01T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q495954,Henry V
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-11-01T00:00:00Z,,,http://www.wikidata.org/entity/Q28,Hungary,,,,,http://www.wikidata.org/entity/Q495954,Henry V
http://www.wikidata.org/entity/Q55860182,"Hamlet, Prince of Denmark",based_on,1807-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q47434509,Q47434509,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q26833,Othello
http://www.wikidata.org/entity/Q48699852,"Henry VI, Part 2",based_on,2016-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q1236216,"Henry VI, Part 2"
http://www.wikidata.org/entity/Q54801155,The King,based_on,2019-10-03T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2"
http://www.wikidata.org/entity/Q47429873,Julius Caesar (1940-1941),based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q215750,Julius Caesar
http://www.wikidata.org/entity/Q48699852,"Henry VI, Part 2",based_on,2016-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q1241754,"Henry VI, Part 3"
http://www.wikidata.org/entity/Q47421053,Q47421053,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q844836,The Merry Wives of Windsor
http://www.wikidata.org/entity/Q47430378,König Heinrich IV. Tragödie in 19 Bildern. Beide Teile für einen Abend,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q4135545,Henry IV
http://www.wikidata.org/entity/Q50872559,Hamlet (incidental music),based_on,,,,,,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
